# kind-equivalence: one row per BindingErrorKind variant, in BindingErrorKind::ALL order.
# rust_name	member	c_code	c_emit	py	py_parity	jvm	jvm_parity
#   rust_name = BindingErrorKind::variant_name(); member = BindingErrorKind::name() (what the bindings resolve)
#   c_code = #[repr(i32)] discriminant; c_emit = BindingErrorKind::c_projection() (the TST_E code C emits)
#   py / jvm = ';'-separated Enum.MEMBER lists (or '-'); *_parity = ok | pending
#   Python enums live in bindings/python/python/tstrans/exceptions.py; JVM enums in
#   bindings/jvm/src/main/java/org/tstrans/<Family>Exception.java (`public enum Kind`).
#   PR 2 spells TODAY's members; WP-B2/B3 rewrite pending cells to <Enum>.<member> and flip parity.
#   ROW ORDER IS PART OF THE CONTRACT: the rail diffs these rows against the
#   print-kinds output line by line, so reordering a row fails the rail.
CONFIG_INVALID	CONFIG_INVALID	-1	-1	MuxErrorKind.CONFIG_INVALID;SrtErrorKind.CONFIG_INVALID	ok	MuxException.Kind.CONFIG_INVALID;SrtException.Kind.CONFIG_INVALID	ok
INVALID_NAL	INVALID_NAL	-2	-2	MuxErrorKind.INPUT_MALFORMED	pending	MuxException.Kind.INPUT_MALFORMED	pending
INPUT_MALFORMED	INPUT_MALFORMED	-3	-3	MuxErrorKind.INPUT_MALFORMED;SrtErrorKind.CONFIG_INVALID	pending	MuxException.Kind.INPUT_MALFORMED;SrtException.Kind.CONFIG_INVALID	pending
BACKPRESSURE	BACKPRESSURE	-4	-4	MuxErrorKind.BACKPRESSURE;SrtErrorKind.WOULD_BLOCK;RtpErrorKind.TIMEOUT;RistErrorKind.RECV_TIMEOUT;UdpErrorKind.IO;TcpErrorKind.IO	pending	MuxException.Kind.BACKPRESSURE;SrtException.Kind.WOULD_BLOCK;RtpException.Kind.TIMEOUT	pending
KLV_TOO_LARGE	KLV_TOO_LARGE	-5	-5	MuxErrorKind.INPUT_MALFORMED	pending	MuxException.Kind.INPUT_MALFORMED	pending
TOO_LARGE	TOO_LARGE	-6	-6	SrtErrorKind.CONFIG_INVALID;UdpErrorKind.PAYLOAD_TOO_LARGE;TcpErrorKind.PAYLOAD_TOO_LARGE;RistErrorKind.PAYLOAD_TOO_LARGE;RtpErrorKind.MALFORMED_PACKET	pending	SrtException.Kind.CONFIG_INVALID;RtpException.Kind.MALFORMED_PACKET	pending
CLOSED	CLOSED	-7	-7	SrtErrorKind.CLOSED;UdpErrorKind.CLOSED;TcpErrorKind.CLOSED;RistErrorKind.CLOSED;RtpErrorKind.CANCELLED	pending	SrtException.Kind.CLOSED;RtpException.Kind.CANCELLED	pending
BROKEN	BROKEN	-8	-8	SrtErrorKind.BROKEN;UdpErrorKind.IO;TcpErrorKind.IO;RistErrorKind.IO;RtpErrorKind.TRANSPORT	pending	SrtException.Kind.BROKEN;RtpException.Kind.TRANSPORT	pending
INVALID_USAGE	INVALID_USAGE	-9	-9	MuxErrorKind.INVALID_USAGE	ok	MuxException.Kind.INVALID_USAGE	ok
INTERNAL	INTERNAL	-10	-10	MuxErrorKind.INTERNAL;HlsErrorKind.INTERNAL;DemuxErrorKind.INTERNAL;KlvErrorKind.INTERNAL	pending	MuxException.Kind.INTERNAL;DemuxException.Kind.INTERNAL;KlvDecodeException.Kind.INTERNAL	ok
